Date,Adj Close,%Change,Returns on 10000
09-03-2022,348.109,1.84%,16660.50
10-03-2022,354.104,1.72%,16947.41
11-03-2022,355.512,0.40%,17014.77
14-03-2022,361.699,1.74%,17310.91
15-03-2022,359.075,-0.73%,17185.30
16-03-2022,367.223,2.27%,17575.26
17-03-2022,375.650,2.29%,17978.59
21-03-2022,372.414,-0.86%,17823.73
22-03-2022,375.131,0.73%,17953.78
23-03-2022,373.725,-0.37%,17886.46
24-03-2022,369.579,-1.11%,17688.02
25-03-2022,368.859,-0.19%,17653.59
28-03-2022,369.140,0.08%,17667.03
29-03-2022,371.237,0.57%,17767.39
30-03-2022,375.631,1.18%,17977.69
31-03-2022,375.630,0.00%,17977.65
01-04-2022,384.108,2.26%,18383.41
04-04-2022,396.589,3.25%,18980.74
05-04-2022,392.647,-0.99%,18792.06
06-04-2022,390.354,-0.58%,18682.31
07-04-2022,390.458,0.03%,18687.31
08-04-2022,393.202,0.70%,18818.62
11-04-2022,391.735,-0.37%,18748.41
12-04-2022,391.501,-0.06%,18737.22
13-04-2022,391.073,-0.11%,18716.74
18-04-2022,383.673,-1.89%,18362.58
19-04-2022,378.815,-1.27%,18130.08
20-04-2022,378.289,-0.14%,18104.90
21-04-2022,385.066,1.79%,18429.25
22-04-2022,379.240,-1.51%,18150.41
25-04-2022,376.350,-0.76%,18012.08
26-04-2022,381.216,1.29%,18244.98
27-04-2022,378.029,-0.84%,18092.43
28-04-2022,382.538,1.19%,18308.26
29-04-2022,378.204,-1.13%,18100.82
02-05-2022,376.665,-0.41%,18027.16
04-05-2022,365.449,-2.98%,17490.39
05-05-2022,364.283,-0.32%,17434.56
06-05-2022,356.185,-2.22%,17046.98
09-05-2022,353.522,-0.75%,16919.54
10-05-2022,353.254,-0.08%,16906.72
11-05-2022,352.888,-0.10%,16889.18
12-05-2022,343.770,-2.58%,16452.82
13-05-2022,340.174,-1.05%,16280.71
16-05-2022,345.489,1.56%,16535.09
17-05-2022,353.516,2.32%,16919.24
18-05-2022,353.664,0.04%,16926.37
19-05-2022,345.456,-2.32%,16533.53
20-05-2022,352.531,2.05%,16872.12
23-05-2022,350.322,-0.63%,16766.39
24-05-2022,348.703,-0.46%,16688.89
25-05-2022,347.034,-0.48%,16609.02
26-05-2022,355.307,2.38%,17004.98
27-05-2022,359.067,1.06%,17184.91
30-05-2022,364.560,1.53%,17447.83
31-05-2022,363.402,-0.32%,17392.42
01-06-2022,364.154,0.21%,17428.40
02-06-2022,365.059,0.25%,17471.71
03-06-2022,361.522,-0.97%,17302.41
06-06-2022,361.176,-0.10%,17285.86
07-06-2022,358.171,-0.83%,17142.05
08-06-2022,358.294,0.03%,17147.96
09-06-2022,359.204,0.25%,17191.50
10-06-2022,354.722,-1.25%,16976.97
13-06-2022,343.241,-3.24%,16427.49
14-06-2022,341.893,-0.39%,16363.00
15-06-2022,341.628,-0.08%,16350.29
16-06-2022,334.120,-2.20%,15990.98
17-06-2022,333.113,-0.30%,15942.80
20-06-2022,330.565,-0.77%,15820.81
21-06-2022,338.458,2.39%,16198.57
22-06-2022,334.900,-1.05%,16028.32
23-06-2022,337.840,0.88%,16169.01
24-06-2022,343.691,1.73%,16449.04
27-06-2022,347.386,1.07%,16625.87
28-06-2022,346.830,-0.16%,16599.27
29-06-2022,343.409,-0.99%,16435.57
30-06-2022,343.376,-0.01%,16433.96
01-07-2022,346.486,0.91%,16582.82
04-07-2022,350.818,1.25%,16790.15
05-07-2022,350.009,-0.23%,16751.44
06-07-2022,354.008,1.14%,16942.81
07-07-2022,360.246,1.76%,17241.38
08-07-2022,362.022,0.49%,17326.36
11-07-2022,365.897,1.07%,17511.83
12-07-2022,363.470,-0.66%,17395.67
13-07-2022,360.292,-0.87%,17243.55
14-07-2022,358.016,-0.63%,17134.61
15-07-2022,358.673,0.18%,17166.08
18-07-2022,365.507,1.91%,17493.14
19-07-2022,369.695,1.15%,17693.60
20-07-2022,372.191,0.68%,17813.07
21-07-2022,376.056,1.04%,17998.01
22-07-2022,380.699,1.23%,18220.26
25-07-2022,380.540,-0.04%,18212.62
26-07-2022,378.273,-0.60%,18104.12
27-07-2022,381.351,0.81%,18251.45
28-07-2022,386.798,1.43%,18512.13
29-07-2022,389.680,0.74%,18650.05
01-08-2022,392.556,0.74%,18787.70
02-08-2022,393.462,0.23%,18831.08
03-08-2022,392.001,-0.37%,18761.15
04-08-2022,388.981,-0.77%,18616.62
05-08-2022,389.931,0.24%,18662.07
08-08-2022,391.904,0.51%,18756.52
10-08-2022,392.328,0.11%,18776.83
11-08-2022,398.317,1.53%,19063.42
12-08-2022,400.365,0.51%,19161.44
16-08-2022,402.418,0.51%,19259.69
17-08-2022,405.710,0.82%,19417.25
18-08-2022,406.008,0.07%,19431.51
19-08-2022,398.619,-1.82%,19077.88
22-08-2022,391.958,-1.67%,18759.11
23-08-2022,395.643,0.94%,18935.46
24-08-2022,399.701,1.03%,19129.66
25-08-2022,401.337,0.41%,19207.97
26-08-2022,401.619,0.07%,19221.45
29-08-2022,395.458,-1.53%,18926.61
30-08-2022,406.292,2.74%,19445.13
01-09-2022,404.989,-0.32%,19382.75
02-09-2022,405.816,0.20%,19422.34
05-09-2022,409.873,1.00%,19616.52
06-09-2022,409.700,-0.04%,19608.22
07-09-2022,409.244,-0.11%,19586.40
08-09-2022,415.991,1.65%,19909.31
09-09-2022,417.022,0.25%,19958.65
12-09-2022,418.243,0.29%,20017.08
13-09-2022,420.838,0.62%,20141.28
14-09-2022,425.931,1.21%,20385.06
15-09-2022,425.426,-0.12%,20360.89
16-09-2022,420.576,-1.14%,20128.77
19-09-2022,422.111,0.36%,20202.21
20-09-2022,427.015,1.16%,20436.93
21-09-2022,423.597,-0.80%,20273.32
22-09-2022,419.653,-0.93%,20084.56
23-09-2022,408.371,-2.69%,19544.60
