Date,Adj Close,%Change,Returns on 10000
25-01-2022,139.996,1.96%,24619.71
27-01-2022,140.631,0.45%,24731.37
28-01-2022,141.444,0.58%,24874.25
31-01-2022,142.001,0.39%,24972.33
01-02-2022,143.682,1.18%,25267.83
02-02-2022,145.916,1.56%,25660.8
03-02-2022,146.69,0.53%,25796.92
04-02-2022,146.2,-0.33%,25710.76
07-02-2022,145.581,-0.42%,25601.91
08-02-2022,143.509,-1.42%,25237.49
09-02-2022,145.467,1.36%,25581.77
10-02-2022,146.407,0.65%,25747.08
11-02-2022,143.5,-1.99%,25235.93
14-02-2022,136.094,-5.16%,23933.44
15-02-2022,139.035,2.16%,24450.59
16-02-2022,138.901,-0.10%,24427.04
17-02-2022,137.465,-1.03%,24174.59
18-02-2022,136.008,-1.06%,23918.38
21-02-2022,132.138,-2.85%,23237.77
22-02-2022,129.361,-2.10%,22749.34
23-02-2022,131.352,1.54%,23099.46
24-02-2022,123.03,-6.34%,21635.97
25-02-2022,128.294,4.28%,22561.82
28-02-2022,129.044,0.58%,22693.66
02-03-2022,129.638,0.46%,22798.14
03-03-2022,130.963,1.02%,23031.19
04-03-2022,129.118,-1.41%,22706.73
07-03-2022,126.298,-2.18%,22210.66
08-03-2022,128.378,1.65%,22576.49
09-03-2022,131.599,2.51%,23143
10-03-2022,132.752,0.88%,23345.72
11-03-2022,133.835,0.82%,23536.12
14-03-2022,133.57,-0.20%,23489.57
15-03-2022,132.404,-0.87%,23284.48
16-03-2022,134.203,1.36%,23600.94
17-03-2022,135.795,1.19%,23880.93
21-03-2022,135.829,0.02%,23886.77
22-03-2022,136.246,0.31%,23960.22
23-03-2022,136.209,-0.03%,23953.66
24-03-2022,136.962,0.55%,24086.03
25-03-2022,136.06,-0.66%,23927.44
28-03-2022,134.925,-0.83%,23727.86
29-03-2022,135.578,0.48%,23842.64
30-03-2022,136.605,0.76%,24023.41
31-03-2022,137.28,0.49%,24142.01
01-04-2022,141.337,2.96%,24855.56
04-04-2022,144.572,2.29%,25424.48
05-04-2022,145.505,0.64%,25588.4
06-04-2022,146.644,0.78%,25788.83
07-04-2022,145.66,-0.67%,25615.68
08-04-2022,147.743,1.43%,25982.04
11-04-2022,149.768,1.37%,26338.16
12-04-2022,147.699,-1.38%,25974.29
13-04-2022,148.527,0.56%,26119.97
18-04-2022,147.731,-0.54%,25979.92
19-04-2022,145.212,-1.71%,25536.91
20-04-2022,144.784,-0.29%,25461.71
21-04-2022,146.574,1.24%,25776.47
22-04-2022,145.607,-0.66%,25606.43
25-04-2022,141.938,-2.52%,24961.15
26-04-2022,144.214,1.60%,25361.51
27-04-2022,143.74,-0.33%,25278.1
28-04-2022,141.837,-1.32%,24943.42
29-04-2022,139.338,-1.76%,24503.96
02-05-2022,138.236,-0.79%,24310.13
04-05-2022,133.934,-3.11%,23553.67
05-05-2022,134.54,0.45%,23660.17
06-05-2022,132.156,-1.77%,23240.96
09-05-2022,129.538,-1.98%,22780.57
10-05-2022,126.09,-2.66%,22174.1
11-05-2022,122.719,-2.67%,21581.37
12-05-2022,120.468,-1.83%,21185.52
13-05-2022,121.367,0.75%,21343.55
16-05-2022,122.515,0.95%,21545.51
17-05-2022,127.614,4.16%,22442.11
18-05-2022,128.106,0.39%,22528.62
19-05-2022,126.002,-1.64%,22158.73
20-05-2022,129.688,2.92%,22806.83
23-05-2022,127.608,-1.60%,22441.16
24-05-2022,125.703,-1.49%,22106.04
25-05-2022,122.52,-2.53%,21546.28
26-05-2022,123.977,1.19%,21802.62
27-05-2022,125.112,0.92%,22002.23
30-05-2022,127.055,1.55%,22343.79
31-05-2022,127.427,0.29%,22409.23
01-06-2022,127.915,0.38%,22495.1
02-06-2022,129.23,1.03%,22726.27
03-06-2022,127.922,-1.01%,22496.28
06-06-2022,127.659,-0.21%,22449.99
07-06-2022,127.47,-0.15%,22416.81
08-06-2022,127.441,-0.02%,22411.79
09-06-2022,127.951,0.40%,22501.48
10-06-2022,126.764,-0.93%,22292.61
13-06-2022,122.092,-3.69%,21471.08
14-06-2022,122.339,0.20%,21514.54
15-06-2022,122.215,-0.10%,21492.64
16-06-2022,117.92,-3.51%,20737.33
17-06-2022,116.776,-0.97%,20536.16
20-06-2022,112.347,-3.79%,19757.26
21-06-2022,117.364,4.47%,20639.57
22-06-2022,114.793,-2.19%,20187.4
23-06-2022,115.873,0.94%,20377.38
24-06-2022,118.269,2.07%,20798.75
27-06-2022,119.946,1.42%,21093.69
28-06-2022,121.046,0.92%,21287.12
29-06-2022,121.402,0.29%,21349.69
30-06-2022,120.373,-0.85%,21168.73
01-07-2022,120.259,-0.09%,21148.75
04-07-2022,121.22,0.80%,21317.8
05-07-2022,121.03,-0.16%,21284.3
06-07-2022,121.717,0.57%,21405.19
07-07-2022,123.435,1.41%,21707.19
08-07-2022,124.335,0.73%,21865.49
11-07-2022,125.519,0.95%,22073.74
12-07-2022,125.303,-0.17%,22035.68
13-07-2022,125.062,-0.19%,21993.39
14-07-2022,124.339,-0.58%,21866.28
15-07-2022,124.777,0.35%,21943.34
18-07-2022,126.602,1.46%,22264.23
19-07-2022,127.217,0.49%,22372.31
20-07-2022,127.645,0.34%,22447.53
21-07-2022,128.658,0.79%,22625.73
22-07-2022,129.462,0.62%,22767.12
25-07-2022,128.881,-0.45%,22665.05
26-07-2022,128.245,-0.49%,22553.06
27-07-2022,128.681,0.34%,22629.74
28-07-2022,128.957,0.21%,22678.31
29-07-2022,130.845,1.46%,23010.37
01-08-2022,132.356,1.15%,23276.04
02-08-2022,133.843,1.12%,23537.58
03-08-2022,133.112,-0.55%,23409.09
04-08-2022,132.38,-0.55%,23280.4
05-08-2022,132.789,0.31%,23352.31
08-08-2022,134.547,1.32%,23661.4
10-08-2022,133.626,-0.68%,23499.42
11-08-2022,134.342,0.54%,23625.4
12-08-2022,134.541,0.15%,23660.34
16-08-2022,135.388,0.63%,23809.23
17-08-2022,135.942,0.41%,23906.76
18-08-2022,136.343,0.29%,23977.21
19-08-2022,135.279,-0.78%,23790.11
22-08-2022,133.577,-1.26%,23490.73
23-08-2022,135.006,1.07%,23742.15
24-08-2022,136.497,1.10%,24004.41
25-08-2022,136.121,-0.28%,23938.24
26-08-2022,137.014,0.66%,24095.33
29-08-2022,136.53,-0.35%,24010.15
30-08-2022,138.469,1.42%,24351.07
01-09-2022,138.646,0.13%,24382.25
02-09-2022,139.502,0.62%,24532.72
05-09-2022,141.49,1.43%,24882.32
06-09-2022,141.994,0.36%,24971.01
07-09-2022,143.132,0.80%,25171.17
08-09-2022,143.747,0.43%,25279.34
09-09-2022,143.495,-0.18%,25234.96
