Date,Adj Close,%Change,Returns on 10000
15-03-2022,195.738,-0.48%,17283.68
16-03-2022,198.214,1.26%,17502.26
17-03-2022,200.021,0.91%,17661.83
21-03-2022,199.483,-0.27%,17614.35
22-03-2022,200.933,0.73%,17742.38
23-03-2022,201.057,0.06%,17753.33
24-03-2022,200.490,-0.28%,17703.23
25-03-2022,200.164,-0.16%,17674.44
28-03-2022,200.733,0.28%,17724.74
29-03-2022,203.317,1.29%,17952.87
30-03-2022,204.927,0.79%,18095.03
31-03-2022,205.692,0.37%,18162.62
01-04-2022,207.423,0.84%,18315.40
04-04-2022,208.794,0.66%,18436.48
05-04-2022,211.324,1.21%,18659.93
06-04-2022,212.452,0.53%,18759.47
07-04-2022,210.925,-0.72%,18624.68
08-04-2022,213.729,1.33%,18872.23
11-04-2022,214.664,0.44%,18954.80
12-04-2022,212.660,-0.93%,18777.81
13-04-2022,213.273,0.29%,18831.97
18-04-2022,212.497,-0.36%,18763.51
19-04-2022,209.320,-1.50%,18482.95
20-04-2022,210.183,0.41%,18559.14
21-04-2022,211.086,0.43%,18638.87
22-04-2022,210.601,-0.23%,18596.06
25-04-2022,207.551,-1.45%,18326.72
26-04-2022,209.771,1.07%,18522.75
27-04-2022,208.133,-0.78%,18378.10
28-04-2022,209.486,0.65%,18497.61
29-04-2022,210.404,0.44%,18578.67
02-05-2022,210.992,0.28%,18630.57
04-05-2022,207.772,-1.53%,18346.21
05-05-2022,208.127,0.17%,18377.57
06-05-2022,206.068,-0.99%,18195.79
09-05-2022,202.914,-1.53%,17917.26
10-05-2022,199.856,-1.51%,17647.29
11-05-2022,198.349,-0.75%,17514.23
12-05-2022,195.912,-1.23%,17299.02
13-05-2022,196.505,0.30%,17351.41
16-05-2022,199.141,1.34%,17584.09
17-05-2022,202.623,1.75%,17891.61
18-05-2022,202.859,0.12%,17912.41
19-05-2022,198.940,-1.93%,17566.38
20-05-2022,201.913,1.49%,17828.94
23-05-2022,201.628,-0.14%,17803.77
24-05-2022,200.117,-0.75%,17670.31
25-05-2022,197.049,-1.53%,17399.40
26-05-2022,198.251,0.61%,17505.53
27-05-2022,199.349,0.55%,17602.51
30-05-2022,202.715,1.69%,17899.70
31-05-2022,202.742,0.01%,17902.11
01-06-2022,204.257,0.75%,18035.90
02-06-2022,203.498,-0.37%,17968.89
