Date,Adj Close,%Change,Returns on 10000
22-09-2021,119.057,1.91%,18440.19
23-09-2021,121.354,1.93%,18796.06
24-09-2021,120.405,-0.78%,18649.04
27-09-2021,120.526,0.10%,18667.75
28-09-2021,118.955,-1.30%,18424.46
29-09-2021,119.514,0.47%,18511.08
30-09-2021,119.637,0.10%,18530.15
01-10-2021,119.607,-0.03%,18525.38
04-10-2021,121.368,1.47%,18798.13
05-10-2021,122.809,1.19%,19021.29
06-10-2021,121.003,-1.47%,18741.66
07-10-2021,123.909,2.40%,19191.67
08-10-2021,124.417,0.41%,19270.40
11-10-2021,125.083,0.54%,19373.63
12-10-2021,125.386,0.24%,19420.59
13-10-2021,126.733,1.07%,19629.13
14-10-2021,128.108,1.08%,19842.06
18-10-2021,128.133,0.02%,19846.05
19-10-2021,125.353,-2.17%,19415.40
20-10-2021,123.814,-1.23%,19176.97
21-10-2021,124.057,0.20%,19214.61
22-10-2021,123.579,-0.38%,19140.71
25-10-2021,122.389,-0.96%,18956.26
26-10-2021,124.236,1.51%,19242.38
27-10-2021,125.177,0.76%,19388.08
28-10-2021,120.587,-3.67%,18677.14
29-10-2021,121.125,0.45%,18760.54
01-11-2021,122.373,1.03%,18953.86
02-11-2021,124.353,1.62%,19260.48
03-11-2021,123.967,-0.31%,19200.74
08-11-2021,126.555,2.09%,19601.62
09-11-2021,129.463,2.30%,20051.94
10-11-2021,128.529,-0.72%,19907.35
11-11-2021,126.701,-1.42%,19624.20
12-11-2021,127.816,0.88%,19796.91
15-11-2021,127.944,0.10%,19816.72
16-11-2021,128.236,0.23%,19861.90
17-11-2021,127.615,-0.48%,19765.75
18-11-2021,127.774,0.12%,19790.33
22-11-2021,124.843,-2.29%,19336.38
23-11-2021,126.697,1.49%,19623.58
24-11-2021,126.760,0.05%,19633.34
25-11-2021,127.309,0.43%,19718.28
26-11-2021,124.518,-2.19%,19286.10
29-11-2021,123.495,-0.82%,19127.58
30-11-2021,123.288,-0.17%,19095.59
01-12-2021,125.269,1.61%,19402.37
02-12-2021,126.112,0.67%,19532.88
03-12-2021,125.679,-0.34%,19465.91
06-12-2021,123.568,-1.68%,19138.99
07-12-2021,125.905,1.89%,19500.83
08-12-2021,127.878,1.57%,19806.44
09-12-2021,128.936,0.83%,19970.36
10-12-2021,130.515,1.22%,20214.86
13-12-2021,130.516,0.00%,20215.15
14-12-2021,129.406,-0.85%,20043.21
15-12-2021,128.031,-1.06%,19830.11
16-12-2021,127.208,-0.64%,19702.67
17-12-2021,123.675,-2.78%,19155.49
20-12-2021,119.710,-3.21%,18541.38
21-12-2021,121.795,1.74%,18864.32
22-12-2021,123.263,1.21%,19091.66
