Date,Adj Close,%Change,Returns on 10000
10-01-2022,121.025,1.07%,16102.40
11-01-2022,121.377,0.29%,16149.25
12-01-2022,122.429,0.87%,16289.19
13-01-2022,122.733,0.25%,16329.72
14-01-2022,122.719,-0.01%,16327.82
17-01-2022,123.068,0.28%,16374.32
18-01-2022,121.757,-1.07%,16199.80
19-01-2022,120.593,-0.96%,16044.98
20-01-2022,119.389,-1.00%,15884.81
21-01-2022,118.450,-0.79%,15759.85
24-01-2022,115.303,-2.66%,15341.14
25-01-2022,116.168,0.75%,15456.15
27-01-2022,115.039,-0.97%,15306.04
28-01-2022,114.983,-0.05%,15298.57
31-01-2022,116.580,1.39%,15511.03
01-02-2022,118.171,1.36%,15722.73
02-02-2022,119.534,1.15%,15904.04
03-02-2022,118.085,-1.21%,15711.30
04-02-2022,117.789,-0.25%,15671.94
07-02-2022,115.755,-1.73%,15401.25
08-02-2022,116.111,0.31%,15448.63
09-02-2022,117.460,1.16%,15628.05
10-02-2022,118.422,0.82%,15756.05
11-02-2022,116.867,-1.31%,15549.21
14-02-2022,113.362,-3.00%,15082.89
15-02-2022,116.785,3.02%,15538.35
16-02-2022,116.611,-0.15%,15515.11
17-02-2022,116.491,-0.10%,15499.25
18-02-2022,116.301,-0.16%,15473.89
21-02-2022,115.868,-0.37%,15416.27
22-02-2022,115.097,-0.67%,15313.72
23-02-2022,114.901,-0.17%,15287.69
24-02-2022,109.415,-4.77%,14557.74
25-02-2022,112.169,2.52%,14924.08
28-02-2022,113.080,0.81%,15045.32
02-03-2022,111.812,-1.12%,14876.70
03-03-2022,111.086,-0.65%,14780.00
04-03-2022,109.385,-1.53%,14553.71
07-03-2022,106.810,-2.35%,14211.12
08-03-2022,107.818,0.94%,14345.26
09-03-2022,110.047,2.07%,14641.84
10-03-2022,111.724,1.52%,14864.97
11-03-2022,111.961,0.21%,14896.51
14-03-2022,113.581,1.45%,15112.02
15-03-2022,112.178,-1.24%,14925.33
16-03-2022,114.280,1.87%,15205.00
17-03-2022,116.377,1.84%,15484.05
21-03-2022,115.234,-0.98%,15331.89
22-03-2022,116.564,1.15%,15508.94
23-03-2022,116.094,-0.40%,15446.36
24-03-2022,115.939,-0.13%,15425.69
25-03-2022,115.468,-0.41%,15363.12
28-03-2022,115.931,0.40%,15424.68
29-03-2022,116.627,0.60%,15517.33
30-03-2022,117.789,1.00%,15671.85
31-03-2022,117.563,-0.19%,15641.76
01-04-2022,118.946,1.18%,15825.89
04-04-2022,121.524,2.17%,16168.81
05-04-2022,120.889,-0.52%,16084.34
06-04-2022,119.882,-0.83%,15950.30
07-04-2022,118.750,-0.94%,15799.74
08-04-2022,119.724,0.82%,15929.33
11-04-2022,118.985,-0.62%,15831.02
12-04-2022,118.010,-0.82%,15701.35
13-04-2022,117.641,-0.31%,15652.15
18-04-2022,115.605,-1.73%,15381.30
19-04-2022,114.160,-1.25%,15189.01
20-04-2022,115.356,1.05%,15348.17
21-04-2022,117.083,1.50%,15578.01
22-04-2022,115.598,-1.27%,15380.34
25-04-2022,114.128,-1.27%,15184.73
26-04-2022,115.789,1.46%,15405.74
27-04-2022,114.695,-0.94%,15260.23
28-04-2022,116.114,1.24%,15449.07
29-04-2022,115.155,-0.83%,15321.38
